3GP,video/3gpp,.3gp,Wikipedia: 3GP
Ogg,application/ogg,.ogx,Wikipedia: Ogg
Ogg Audio,audio/ogg,.oga,Wikipedia: Ogg
Ogg Video,video/ogg,.ogv,Wikipedia: Ogg
OpenOffice - Calc (Spreadsheet),application/vnd.sun.xml.calc,.sxc,Wikipedia: OpenOffice
OpenOffice - Draw (Graphics),application/vnd.sun.xml.draw,.sxd,Wikipedia: OpenOffice
OpenOffice - Impress (Presentation),application/vnd.sun.xml.impress,.sxi,Wikipedia: OpenOffice
OpenOffice - Math (Formula),application/vnd.sun.xml.math,.sxm,Wikipedia: OpenOffice
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer,.sxw,Wikipedia: OpenOffice
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer.global,.sxg,Wikipedia: OpenOffice
PCX Image,image/x-pcx,.pcx,Wikipedia: PCX
Photoshop Document,image/vnd.adobe.photoshop,.psd,Wikipedia: Photoshop Document
Portable Anymap Image,image/x-portable-anymap,.pnm,Wikipedia: Netpbm Format
Portable Bitmap Format,image/x-portable-bitmap,.pbm,Wikipedia: Netpbm Format
Portable Compiled Format,application/x-font-pcf,.pcf,Wikipedia: Portable Compiled Format
Portable Font Resource,application/font-tdpfr,.pfr,RFC 3073
Portable Game Notation (Chess Games),application/x-chess-pgn,.pgn,Wikipedia: Portable Game Notationb
Portable Graymap Format,image/x-portable-graymap,.pgm,Wikipedia: Netpbm Format
Portable Network Graphics (PNG),image/png,.png,RFC 2083
Portable Network Graphics (PNG) (Citrix client),image/x-citrix-png,.png,RFC 2083
Portable Network Graphics (PNG) (x-token),image/x-png,.png,RFC 2083
Portable Pixmap Format,image/x-portable-pixmap,.ppm,Wikipedia: Netpbm Format
PostScript,application/postscript,.ai,Wikipedia: PostScript
PostScript Fonts,application/x-font-type1,.pfa,Wikipedia: PostScript Fonts
RAR Archive,application/x-rar-compressed,.rar,Wikipedia: RAR
Real Audio Sound,audio/x-pn-realaudio,.ram,Wikipedia: RealPlayer
Rich Text Format,application/rtf,.rtf,Wikipedia: Rich Text Format
Rich Text Format (RTF),text/richtext,.rtx,Wikipedia: Rich Text Format
Scalable Vector Graphics (SVG),image/svg+xml,.svg,Wikipedia: SVG
SGI Movie,video/x-sgi-movie,.movie,SGI Facts
Silicon Graphics RGB Bitmap,image/x-rgb,.rgb,RGB Image Format
Tagged Image File Format,image/tiff,.tiff,Wikipedia: TIFF
TeX,application/x-tex,.tex,Wikipedia: TeX
Text File,text/plain,.txt,Wikipedia: Text File
Waveform Audio File Format (WAV),audio/x-wav,.wav,Wikipedia: WAV
XML - Extensible Markup Language,application/xml,.xml,W3C XML
XML Configuration Access Protocol - XCAP Diff,application/xcap-diff+xml,.xdf,Wikipedia: XCAP
